===========RESULTADOS============
SESION: Thu Sep 15 11:27:15 2016
=================================
u1, v1, u2, v2, x, y, z, obj
198.164, 295.975, 171.862, 209.754, 11.6974, 134.977, 159.94, 0.960856
208.04, 288.379, 181.868, 201.679, 23.573, 129.18, 145.956, 0.911063
164.118, 286.915, 137.681, 199.829, 17.6632, 126.571, 211.5, 0.902011
161.547, 290.546, 135.024, 204.358, 5.47504, 126.17, 214.803, 0.86657
170.708, 293.366, 144.283, 205.896, 19.2616, 136.117, 201.611, 0.842514
199.863, 298.764, 173.551, 213.033, 5.40418, 135.978, 156.89, 0.802879
166.769, 296.301, 140.302, 208.993, 14.8306, 138.407, 207.221, 0.794217
190.365, 277.508, 164.063, 191.786, 15.6007, 110.763, 172.132, 0.779427
182.368, 279.027, 156.066, 191.79, 28.5074, 119.544, 184.932, 0.754815
189.864, 277.43, 163.605, 190.437, 28.7757, 116.993, 173.743, 0.74863
200.672, 288.03, 174.422, 201.921, 15.8428, 125.432, 156.482, 0.742814
183.134, 277.088, 156.786, 191.272, 15.0992, 110.313, 183.041, 0.739222
188.966, 276.238, 162.674, 190.141, 19.9719, 111.11, 174.54, 0.720342
183.917, 275.607, 157.655, 187.997, 34.8361, 117.631, 183.03, 0.692883
172.449, 298.623, 145.966, 211.905, 8.77593, 138.64, 198.427, 0.683614
170.543, 284.661, 144.117, 198.105, 15.1319, 121.844, 201.85, 0.635496
193.749, 277.256, 167.491, 191.05, 21.6374, 113.11, 167.421, 0.634417
192.94, 275.194, 166.661, 189.697, 15.2572, 107.119, 168.225, 0.629815
193.943, 277.934, 167.708, 190.947, 29.3791, 117.78, 167.657, 0.593001
165.164, 291.305, 138.711, 204.122, 16.2135, 132.063, 209.781, 0.589924
168.527, 293.606, 142.052, 206.861, 11.1222, 132.797, 204.503, 0.580906
194.175, 287.947, 167.875, 201.69, 15.8317, 125.643, 166.306, 0.569749
168.317, 285.316, 141.884, 198.636, 15.4656, 123.05, 205.182, 0.55748
182.368, 276.598, 155.992, 191.41, 8.5755, 106.518, 183.832, 0.539278
195.654, 287.445, 169.379, 200.795, 20.5632, 127.071, 164.41, 0.53649
176.239, 295.632, 149.803, 208.731, 13.4138, 136.35, 193.033, 0.534323
190.224, 276.094, 163.985, 188.762, 33.1723, 117.179, 173.501, 0.530341
174.726, 228.043, 147.787, 158.027, -145.646, -46.0304, 188.865, -1.47846e-10
174.437, 227.72, 147.491, 157.768, -146.393, -46.9381, 189.329, -6.27805e-10
174.674, 228.168, 147.732, 158.155, -145.772, -45.8858, 188.946, -8.7612e-10
136.591, 221.006, 109.29, 148.748, -120.736, -41.3406, 253.872, -1.77935e-09
136.669, 220.661, 109.377, 148.334, -119.594, -41.2979, 253.769, -2.18617e-09
